Commission UID,Commission User Notes,User type,Trader Type,Trader UID,Superior UID of trader,Type,Copy Trading,Pairs,Coin,Trading volume,实付手续费,Commission Rate,Commission,Commission (USDT),Trade Time,Commission Time,Settlement time,Status
LBA0H57334,,Affiliate,Invitee,LBA4H54082,LBA0H57334,Futures,No,BTCUSDT,USDT,523.8535,0.3143,70%,0.22,0,2025-11-11 15:40:47,,2025-11-11 16:32:02,Not Distributed
LBA0H57334,,Affiliate,Invitee,LBA4H54082,LBA0H57334,Futures,No,BTCUSDT,USDT,525.3205,0.3151,70%,0.2206,0,2025-11-11 15:16:57,,2025-11-11 16:31:57,Not Distributed
LBA0H57334,,Affiliate,Invitee,LBA4H54082,LBA0H57334,Futures,No,BTCUSDT,USDT,525.512,0.3153,70%,0.2207,0,2025-11-11 14:56:07,,2025-11-11 16:31:51,Not Distributed
LBA0H57334,,Affiliate,Invitee,LBA4H54082,LBA0H57334,Futures,No,BTCUSDT,USDT,524.9685,0.3149,70%,0.2204,0,2025-11-11 14:12:38,,2025-11-11 16:31:45,Not Distributed
LBA0H57334,,Affiliate,Invitee,LBA4H54082,LBA0H57334,Futures,No,BTCUSDT,USDT,549.9832,0.3299,70%,0.2309,0,2025-11-11 12:45:08,,2025-11-11 14:31:28,Not Distributed
LBA0H57334,,Affiliate,Invitee,LBA4H54082,LBA0H57334,Futures,No,BTCUSDT,USDT,551.9352,0.3311,70%,0.2318,0,2025-11-11 12:12:55,,2025-11-11 14:31:23,Not Distributed
LBA0H57334,,Affiliate,Invitee,LBA4H54082,LBA0H57334,Futures,No,BTCUSDT,USDT,573.2618,0.3439,70%,0.2407,0,2025-11-11 12:12:01,,2025-11-11 14:31:23,Not Distributed
LBA0H57334,,Affiliate,Invitee,LBA4H54082,LBA0H57334,Futures,No,BTCUSDT,USDT,574.6534,0.3447,70%,0.2413,0,2025-11-11 11:53:09,,2025-11-11 12:31:31,Not Distributed
LBA0H57334,,Affiliate,Invitee,LBA4H54082,LBA0H57334,Futures,No,BTCUSDT,USDT,53.4821,0.0106,70%,0.0074,0,2025-11-11 10:37:02,,2025-11-11 12:31:19,Not Distributed
LBA0H57334,,Affiliate,Invitee,LBA4H54082,LBA0H57334,Futures,No,BTCUSDT,USDT,52.9111,0.0317,70%,0.0222,0,2025-11-11 10:03:44,,2025-11-11 12:31:12,Not Distributed
LBA0H57334,,Affiliate,Invitee,LBA4H54082,LBA0H57334,Futures,No,BTCUSDT,USDT,63.3784,0.038,70%,0.0266,0,2025-11-11 08:41:06,,2025-11-11 10:31:22,Not Distributed
LBA0H57334,,Affiliate,Invitee,LBA4H54082,LBA0H57334,Futures,No,BTCUSDT,USDT,63.63,0.0381,70%,0.0267,0.0267,2025-11-10 18:50:01,2025-11-11 10:01:18,2025-11-10 20:33:17,Distributed
LBA0H57334,,Affiliate,Invitee,LBA4H54082,LBA0H57334,Futures,No,BTCUSDT,USDT,148.861,0.0893,70%,0.0625,0.0625,2025-11-10 15:08:07,2025-11-11 10:01:18,2025-11-10 16:32:04,Distributed
LBA0H57334,,Affiliate,Invitee,LBA4H54082,LBA0H57334,Futures,No,BTCUSDT,USDT,148.5225,0.0891,70%,0.0623,0.0623,2025-11-10 14:03:32,2025-11-11 10:01:18,2025-11-10 16:31:56,Distributed
